gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
135061,Brazil,27,BRA,1,14,1,42,7,49,20,48,15,31.3,26,5,19.2,74,20,27.0,23,16,69.6,33,12,36.4,30,61,7,12,2,225.0,135061,South Sudan,9716,SSD,1,9,1,47,20,67,29,46,12,26.1,27,6,22.2,73,18,24.7,40,21,52.5,36,12,33.3,20,63,6,15,3,225.0
135061,South Sudan,9716,SSD,2,9,1,47,20,67,29,46,12,26.1,27,6,22.2,73,18,24.7,40,21,52.5,36,12,33.3,20,63,6,15,3,225.0,135061,Brazil,27,BRA,2,14,1,42,7,49,20,48,15,31.3,26,5,19.2,74,20,27.0,23,16,69.6,33,12,36.4,30,61,7,12,2,225.0
135062,Argentina,14,ARG,1,11,2,23,9,32,17,28,8,28.6,38,5,13.2,66,13,19.7,6,4,66.7,18,8,44.4,18,35,13,11,1,200.0,135062,New Zealand,113,NZL,1,18,1,45,8,53,18,34,13,38.2,12,8,66.7,46,21,45.7,19,7,36.8,26,12,46.2,17,57,3,22,3,200.0
135062,New Zealand,113,NZL,2,18,1,45,8,53,18,34,13,38.2,12,8,66.7,46,21,45.7,19,7,36.8,26,12,46.2,17,57,3,22,3,200.0,135062,Argentina,14,ARG,2,11,2,23,9,32,17,28,8,28.6,38,5,13.2,66,13,19.7,6,4,66.7,18,8,44.4,18,35,13,11,1,200.0
135067,Canada,34,CAN,1,23,2,29,15,44,14,33,16,48.5,38,11,29.0,71,27,38.0,7,7,100.0,25,13,52.0,17,72,8,15,3,200.0,135067,Senegal,134,SEN,1,9,4,27,8,35,17,37,11,29.7,15,7,46.7,52,18,34.6,22,14,63.6,23,7,30.4,14,57,7,18,2,200.0
135067,Senegal,134,SEN,2,9,4,27,8,35,17,37,11,29.7,15,7,46.7,52,18,34.6,22,14,63.6,23,7,30.4,14,57,7,18,2,200.0,135067,Canada,34,CAN,2,23,2,29,15,44,14,33,16,48.5,38,11,29.0,71,27,38.0,7,7,100.0,25,13,52.0,17,72,8,15,3,200.0
135068,Mexico,104,MEX,1,11,2,42,11,53,25,39,19,48.7,23,4,17.4,62,23,37.1,25,11,44.0,31,15,48.4,16,61,10,19,3,200.0,135068,Philippines,122,PHI,1,10,3,33,3,36,16,37,16,43.2,26,6,23.1,63,22,34.9,15,8,53.3,30,14,46.7,25,58,9,17,2,200.0
135068,Philippines,122,PHI,2,10,3,33,3,36,16,37,16,43.2,26,6,23.1,63,22,34.9,15,8,53.3,30,14,46.7,25,58,9,17,2,200.0,135068,Mexico,104,MEX,2,11,2,42,11,53,25,39,19,48.7,23,4,17.4,62,23,37.1,25,11,44.0,31,15,48.4,16,61,10,19,3,200.0
135064,South Sudan,9716,SSD,1,10,2,41,10,51,26,32,15,46.9,20,4,20.0,52,19,36.5,27,19,70.4,26,14,53.9,14,61,2,21,2,200.0,135064,Argentina,14,ARG,1,17,1,26,9,35,14,49,19,38.8,24,7,29.2,73,26,35.6,10,5,50.0,30,14,46.7,27,64,12,7,3,200.0
135064,Argentina,14,ARG,2,17,1,26,9,35,14,49,19,38.8,24,7,29.2,73,26,35.6,10,5,50.0,30,14,46.7,27,64,12,7,3,200.0,135064,South Sudan,9716,SSD,2,10,2,41,10,51,26,32,15,46.9,20,4,20.0,52,19,36.5,27,19,70.4,26,14,53.9,14,61,2,21,2,200.0
135063,New Zealand,113,NZL,1,13,0,31,9,40,24,28,11,39.3,22,5,22.7,50,16,32.0,23,16,69.6,25,10,40.0,24,53,6,24,2,200.0,135063,Brazil,27,BRA,1,14,4,27,9,36,23,32,11,34.4,24,6,25.0,56,17,30.4,25,16,64.0,24,9,37.5,25,56,12,18,2,200.0
135063,Brazil,27,BRA,2,14,4,27,9,36,23,32,11,34.4,24,6,25.0,56,17,30.4,25,16,64.0,24,9,37.5,25,56,12,18,2,200.0,135063,New Zealand,113,NZL,2,13,0,31,9,40,24,28,11,39.3,22,5,22.7,50,16,32.0,23,16,69.6,25,10,40.0,24,53,6,24,2,200.0
135069,Philippines,122,PHI,1,14,3,26,5,31,8,28,10,35.7,26,5,19.2,54,15,27.8,10,3,30.0,21,7,33.3,16,38,4,23,1,200.0,135069,Canada,34,CAN,1,23,4,37,26,63,16,51,22,43.1,34,12,35.3,85,34,40.0,8,5,62.5,43,21,48.8,8,85,14,16,2,200.0
135069,Canada,34,CAN,2,23,4,37,26,63,16,51,22,43.1,34,12,35.3,85,34,40.0,8,5,62.5,43,21,48.8,8,85,14,16,2,200.0,135069,Philippines,122,PHI,2,14,3,26,5,31,8,28,10,35.7,26,5,19.2,54,15,27.8,10,3,30.0,21,7,33.3,16,38,4,23,1,200.0
135070,Senegal,134,SEN,1,12,2,26,19,45,22,48,20,41.7,17,2,11.8,65,22,33.9,27,19,70.4,37,17,46.0,17,65,12,17,3,200.0,135070,Mexico,104,MEX,1,25,3,27,12,39,17,31,10,32.3,32,15,46.9,63,25,39.7,16,14,87.5,26,9,34.6,22,79,10,17,3,200.0
135070,Mexico,104,MEX,2,25,3,27,12,39,17,31,10,32.3,32,15,46.9,63,25,39.7,16,14,87.5,26,9,34.6,22,79,10,17,3,200.0,135070,Senegal,134,SEN,2,12,2,26,19,45,22,48,20,41.7,17,2,11.8,65,22,33.9,27,19,70.4,37,17,46.0,17,65,12,17,3,200.0
135065,Brazil,27,BRA,1,14,3,33,12,45,27,21,8,38.1,17,6,35.3,38,14,36.8,34,24,70.6,19,7,36.8,19,58,3,25,1,200.0,135065,Argentina,14,ARG,1,16,2,14,13,27,18,43,17,39.5,23,4,17.4,66,21,31.8,13,7,53.9,29,14,48.3,28,53,13,10,2,200.0
135065,Argentina,14,ARG,2,16,2,14,13,27,18,43,17,39.5,23,4,17.4,66,21,31.8,13,7,53.9,29,14,48.3,28,53,13,10,2,200.0,135065,Brazil,27,BRA,2,14,3,33,12,45,27,21,8,38.1,17,6,35.3,38,14,36.8,34,24,70.6,19,7,36.8,19,58,3,25,1,200.0
135066,New Zealand,113,NZL,1,25,1,29,20,49,19,45,18,40.0,29,10,34.5,74,28,37.8,20,16,80.0,39,15,38.5,20,82,6,8,2,200.0,135066,South Sudan,9716,SSD,1,18,6,29,17,46,19,40,18,45.0,33,9,27.3,73,27,37.0,14,11,78.6,33,14,42.4,19,74,4,10,4,200.0
135066,South Sudan,9716,SSD,2,18,6,29,17,46,19,40,18,45.0,33,9,27.3,73,27,37.0,14,11,78.6,33,14,42.4,19,74,4,10,4,200.0,135066,New Zealand,113,NZL,2,25,1,29,20,49,19,45,18,40.0,29,10,34.5,74,28,37.8,20,16,80.0,39,15,38.5,20,82,6,8,2,200.0
135072,Philippines,122,PHI,1,22,3,17,7,24,19,25,18,72.0,29,12,41.4,54,30,55.6,16,7,43.8,22,16,72.7,20,79,7,16,4,200.0,135072,Senegal,134,SEN,1,13,3,22,21,43,20,50,20,40.0,16,5,31.3,66,25,37.9,24,20,83.3,39,17,43.6,19,75,8,17,3,200.0
135072,Senegal,134,SEN,2,13,3,22,21,43,20,50,20,40.0,16,5,31.3,66,25,37.9,24,20,83.3,39,17,43.6,19,75,8,17,3,200.0,135072,Philippines,122,PHI,2,22,3,17,7,24,19,25,18,72.0,29,12,41.4,54,30,55.6,16,7,43.8,22,16,72.7,20,79,7,16,4,200.0
135071,Canada,34,CAN,1,17,2,32,13,45,16,31,15,48.4,29,9,31.0,60,24,40.0,19,13,68.4,25,14,56.0,11,70,4,16,2,200.0,135071,Mexico,104,MEX,1,15,1,26,6,32,11,31,14,45.2,32,10,31.3,63,24,38.1,6,6,100.0,22,12,54.6,16,64,6,11,2,200.0
135071,Mexico,104,MEX,2,15,1,26,6,32,11,31,14,45.2,32,10,31.3,63,24,38.1,6,6,100.0,22,12,54.6,16,64,6,11,2,200.0,135071,Canada,34,CAN,2,17,2,32,13,45,16,31,15,48.4,29,9,31.0,60,24,40.0,19,13,68.4,25,14,56.0,11,70,4,16,2,200.0
135074,Canada,34,CAN,1,18,1,26,11,37,14,40,24,60.0,24,10,41.7,64,34,53.1,10,8,80.0,28,19,67.9,23,86,6,15,4,200.0,135074,New Zealand,113,NZL,1,19,4,18,7,25,23,34,14,41.2,17,6,35.3,51,20,39.2,30,25,83.3,31,13,41.9,14,71,9,14,3,200.0
135074,New Zealand,113,NZL,2,19,4,18,7,25,23,34,14,41.2,17,6,35.3,51,20,39.2,30,25,83.3,31,13,41.9,14,71,9,14,3,200.0,135074,Canada,34,CAN,2,18,1,26,11,37,14,40,24,60.0,24,10,41.7,64,34,53.1,10,8,80.0,28,19,67.9,23,86,6,15,4,200.0
135073,Mexico,104,MEX,1,21,4,28,11,39,21,31,16,51.6,32,12,37.5,63,28,44.4,23,15,65.2,28,15,53.6,13,83,10,11,4,200.0,135073,Brazil,27,BRA,1,16,5,27,15,42,13,46,17,37.0,22,8,36.4,68,25,36.8,7,6,85.7,37,16,43.2,21,64,9,17,2,200.0
135073,Brazil,27,BRA,2,16,5,27,15,42,13,46,17,37.0,22,8,36.4,68,25,36.8,7,6,85.7,37,16,43.2,21,64,9,17,2,200.0,135073,Mexico,104,MEX,2,21,4,28,11,39,21,31,16,51.6,32,12,37.5,63,28,44.4,23,15,65.2,28,15,53.6,13,83,10,11,4,200.0
